order_id,customer_id,product,category,size,price,quantity,rating,purchase_date,total_amount
ORD045,CUST1943,T-Shirt,Clothing,S,481.87,2,4.4,5/25/2023,963.74
ORD014,CUST1977,Watch,Accessories,M,919.52,9,2.1,2/18/2023,8275.68
ORD099,CUST1501,T-Shirt,Clothing,S,110.5,8,2.3,4/13/2023,884.0
ORD071,CUST1606,Lamp,Home,Unknown,1337.26,8,2.5,12/7/2023,10698.08
ORD009,CUST4788,Tablet,Electronics,S,1354.32,8,3.0,7/16/2023,10834.56
ORD041,CUST1678,Tablet,Electronics,M,653.61,3,4.1,3/9/2023,1960.83
ORD018,CUST1785,Notebook,Books,Unknown,218.77,6,3.8,6/22/2023,1312.62
ORD076,CUST1388,Curtains,Home ,L,1127.17,5,4.7,9/11/2023,5635.85
ORD014,CUST1819,Shampoo,Beauty,S,115.33,9,2.9,11/30/2023,1037.97
ORD010,CUST1977,Jacket,Clothing,L,1343.81,6,3.6,8/5/2023,8062.86
ORD082,CUST1455,T-Shirt,Clothing,S,110.5,8,2.3,4/13/2023,884.0
ORD051,CUST1720,Running Shoes,Sports,M,890.5,4,4.5,10/19/2023,3562.0
ORD077,CUST1672,Novel,Books,S,349.0,2,4.8,1/14/2023,698.0
ORD075,CUST1026,Lipstick,Beauty,XL,713.89,5,2.0,3/12/2023,3569.45
ORD040,CUST1542,Shampoo,Beauty,Unknown,890.0,3,4.6,7/28/2023,2670.0
